creator_id,join_date,region,category,partner_tier
CR0516,2022-10-12,Mexico,Lifestyle,Emerging
CR0517,2022-03-08,Brazil,Entertainment,Emerging
CR0518,2023-02-08,US & Canada,Music,Emerging
CR0519,2022-09-03,Brazil,Education,Growth
CR0520,2023-05-19,US & Canada,Entertainment,Growth
CR0521,2024-12-24,US & Canada,Entertainment,Growth
CR0522,2024-09-24,Other LATAM,Gaming,Growth
CR0523,2024-07-16,US & Canada,Gaming,Emerging
CR0524,2023-05-06,US & Canada,Lifestyle,Growth
CR0525,2023-06-27,US & Canada,Education,Growth
CR0526,2022-03-23,US & Canada,Education,Emerging
CR0527,2023-03-24,US & Canada,Education,Growth
CR0528,2022-08-12,Mexico,Lifestyle,Growth
CR0529,2024-01-20,Mexico,Music,Emerging
CR0530,2024-05-26,Brazil,Music,Growth
CR0531,2024-10-12,US & Canada,Education,Emerging
CR0532,2023-10-30,US & Canada,Gaming,Established
CR0533,2022-11-14,US & Canada,Education,Emerging
CR0534,2024-11-11,US & Canada,Education,Emerging
CR0535,2022-05-15,Mexico,Lifestyle,Established
CR0536,2023-09-14,US & Canada,Music,Growth
CR0537,2022-12-09,Mexico,Music,Growth
CR0538,2024-03-26,US & Canada,Entertainment,Emerging
CR0539,2023-05-30,US & Canada,Entertainment,Growth
CR0540,2023-10-17,Mexico,Lifestyle,Emerging
CR0541,2023-03-11,US & Canada,Entertainment,Growth
CR0542,2024-02-05,US & Canada,Music,Emerging
CR0543,2022-09-05,US & Canada,Music,Growth
CR0544,2024-10-14,US & Canada,Entertainment,Growth
CR0545,2024-10-10,US & Canada,Entertainment,Growth
CR0546,2023-07-30,US & Canada,Music,Emerging
CR0547,2022-09-10,US & Canada,Education,Growth
CR0548,2024-04-23,US & Canada,Gaming,Established
CR0549,2022-12-14,US & Canada,Education,Growth
CR0550,2023-12-07,US & Canada,Education,Emerging
CR0551,2023-02-28,US & Canada,Gaming,Emerging
CR0552,2023-12-16,US & Canada,Education,Growth
CR0553,2023-11-23,US & Canada,Lifestyle,Growth
CR0554,2022-07-20,Brazil,Entertainment,Emerging
CR0555,2023-03-11,Brazil,Education,Growth
CR0556,2024-05-02,US & Canada,Education,Growth
CR0557,2024-07-29,US & Canada,Entertainment,Emerging
CR0558,2022-05-22,US & Canada,Entertainment,Emerging
CR0559,2022-02-27,US & Canada,Entertainment,Growth
CR0560,2023-10-24,Mexico,Education,Growth
CR0561,2022-09-16,Brazil,Gaming,Established
CR0562,2024-04-14,Brazil,Gaming,Emerging
CR0563,2024-01-23,US & Canada,Lifestyle,Emerging
CR0564,2024-12-04,US & Canada,Entertainment,Growth
CR0565,2024-02-26,Brazil,Education,Emerging
CR0566,2023-06-14,US & Canada,Music,Emerging
CR0567,2022-05-12,US & Canada,Entertainment,Growth
CR0568,2022-05-31,US & Canada,Gaming,Established
CR0569,2023-04-26,US & Canada,Gaming,Emerging
CR0570,2022-01-18,Other LATAM,Entertainment,Emerging
CR0571,2023-06-02,US & Canada,Lifestyle,Emerging
CR0572,2023-02-28,Other LATAM,Entertainment,Emerging
CR0573,2023-12-27,Other LATAM,Lifestyle,Emerging
CR0574,2023-08-26,US & Canada,Gaming,Emerging
CR0575,2024-01-04,Brazil,Gaming,Emerging
CR0576,2023-09-26,Other LATAM,Music,Growth
CR0577,2024-03-08,US & Canada,Gaming,Emerging
CR0578,2022-02-15,US & Canada,Gaming,Growth
CR0579,2022-08-04,Mexico,Education,Emerging
CR0580,2023-04-29,Brazil,Entertainment,Established
CR0581,2024-05-11,US & Canada,Entertainment,Growth
CR0582,2022-04-25,US & Canada,Education,Emerging
CR0583,2024-06-10,Brazil,Lifestyle,Emerging
CR0584,2022-12-05,US & Canada,Lifestyle,Emerging
CR0585,2023-11-14,US & Canada,Education,Growth
CR0586,2023-08-14,Other LATAM,Lifestyle,Growth
CR0587,2023-03-23,Mexico,Education,Growth
CR0588,2023-08-10,US & Canada,Entertainment,Emerging
CR0589,2022-02-24,US & Canada,Education,Emerging
CR0590,2024-07-22,US & Canada,Education,Emerging
CR0591,2022-02-23,Mexico,Entertainment,Growth
CR0592,2022-12-14,Other LATAM,Education,Emerging
CR0593,2022-06-20,Mexico,Gaming,Emerging
CR0594,2022-06-16,Mexico,Gaming,Emerging
CR0595,2024-12-12,US & Canada,Entertainment,Emerging
CR0596,2023-05-25,Brazil,Education,Emerging
CR0597,2022-05-25,US & Canada,Gaming,Emerging
CR0598,2023-01-29,Brazil,Education,Emerging
CR0599,2024-01-21,Other LATAM,Gaming,Growth
CR0600,2023-02-03,US & Canada,Entertainment,Emerging
CR0601,2022-10-23,Mexico,Entertainment,Emerging
CR0602,2024-08-05,Mexico,Lifestyle,Growth
CR0603,2024-08-27,US & Canada,Education,Growth
CR0604,2022-08-11,US & Canada,Entertainment,Growth
CR0605,2024-03-02,US & Canada,Gaming,Established
CR0606,2023-11-08,Brazil,Gaming,Emerging
CR0607,2023-02-28,Other LATAM,Lifestyle,Emerging
CR0608,2024-06-10,US & Canada,Music,Emerging
CR0609,2023-12-15,US & Canada,Lifestyle,Emerging
CR0610,2023-06-08,US & Canada,Gaming,Growth
CR0611,2023-12-31,US & Canada,Lifestyle,Emerging
CR0612,2024-03-29,US & Canada,Education,Emerging
CR0613,2023-12-18,Other LATAM,Education,Emerging
CR0614,2024-05-05,US & Canada,Entertainment,Emerging
CR0615,2022-01-12,US & Canada,Music,Growth
CR0616,2023-11-27,Mexico,Music,Established
CR0617,2022-02-28,US & Canada,Gaming,Growth
CR0618,2022-09-22,Mexico,Education,Emerging
CR0619,2022-07-15,US & Canada,Lifestyle,Established
CR0620,2022-12-18,US & Canada,Gaming,Emerging
CR0621,2022-12-02,US & Canada,Gaming,Emerging
CR0622,2024-12-15,US & Canada,Lifestyle,Established
CR0623,2024-01-01,US & Canada,Gaming,Growth
CR0624,2022-06-06,Mexico,Entertainment,Emerging
CR0625,2023-10-19,Brazil,Music,Established
CR0626,2024-08-09,Other LATAM,Lifestyle,Emerging
CR0627,2022-10-04,Other LATAM,Lifestyle,Growth
CR0628,2024-01-12,US & Canada,Entertainment,Established
CR0629,2024-06-09,Mexico,Lifestyle,Emerging
CR0630,2024-08-05,Mexico,Lifestyle,Emerging
CR0631,2023-07-03,US & Canada,Gaming,Growth
CR0632,2024-07-25,US & Canada,Education,Growth
CR0633,2024-05-08,US & Canada,Entertainment,Emerging
CR0634,2023-01-22,Brazil,Lifestyle,Emerging
CR0635,2023-05-21,US & Canada,Entertainment,Established
CR0636,2023-10-10,Brazil,Entertainment,Growth
CR0637,2022-10-11,Other LATAM,Education,Emerging
CR0638,2024-08-02,Other LATAM,Lifestyle,Growth
CR0639,2022-10-26,US & Canada,Entertainment,Emerging
CR0640,2024-11-04,US & Canada,Entertainment,Established
CR0641,2023-07-18,Mexico,Lifestyle,Growth
CR0642,2024-05-24,US & Canada,Entertainment,Growth
CR0643,2024-02-01,Mexico,Gaming,Emerging
CR0644,2024-10-22,Mexico,Entertainment,Emerging
CR0645,2022-08-05,Other LATAM,Music,Emerging
CR0646,2023-06-29,US & Canada,Entertainment,Growth
CR0647,2022-04-25,US & Canada,Lifestyle,Growth
CR0648,2023-11-30,US & Canada,Lifestyle,Emerging
CR0649,2024-04-15,US & Canada,Entertainment,Emerging
CR0650,2022-08-09,US & Canada,Entertainment,Emerging
CR0651,2024-12-29,US & Canada,Music,Emerging
CR0652,2022-11-24,Mexico,Gaming,Established
CR0653,2022-01-11,US & Canada,Gaming,Emerging
CR0654,2023-11-23,US & Canada,Gaming,Emerging
CR0655,2024-03-02,US & Canada,Music,Growth
CR0656,2024-01-25,Brazil,Entertainment,Emerging
CR0657,2022-04-03,US & Canada,Lifestyle,Emerging
CR0658,2023-11-07,Mexico,Gaming,Growth
CR0659,2022-08-07,Brazil,Lifestyle,Growth
CR0660,2024-03-27,US & Canada,Music,Emerging
CR0661,2022-10-10,Brazil,Entertainment,Growth
CR0662,2022-02-09,US & Canada,Education,Emerging
CR0663,2024-10-13,US & Canada,Education,Emerging
CR0664,2024-11-06,Brazil,Gaming,Growth
CR0665,2022-06-07,Mexico,Lifestyle,Growth
CR0666,2022-06-26,US & Canada,Lifestyle,Growth
CR0667,2024-08-12,Mexico,Education,Emerging
CR0668,2024-08-14,US & Canada,Music,Established
CR0669,2023-11-10,US & Canada,Entertainment,Emerging
CR0670,2022-09-07,Brazil,Gaming,Growth
CR0671,2022-11-01,US & Canada,Music,Emerging
CR0672,2024-03-09,US & Canada,Education,Emerging
CR0673,2022-07-22,Other LATAM,Entertainment,Emerging
CR0674,2024-08-15,US & Canada,Gaming,Emerging
CR0675,2024-11-17,US & Canada,Education,Growth
CR0676,2024-06-19,US & Canada,Education,Growth
CR0677,2023-03-24,Other LATAM,Lifestyle,Emerging
CR0678,2022-11-07,Brazil,Education,Emerging
CR0679,2022-02-16,US & Canada,Education,Growth
CR0680,2024-05-04,US & Canada,Education,Emerging
CR0681,2023-10-13,US & Canada,Education,Emerging
CR0682,2022-11-08,US & Canada,Education,Emerging
CR0683,2024-06-15,US & Canada,Entertainment,Established
CR0684,2024-12-26,Brazil,Education,Growth
CR0685,2024-06-25,Other LATAM,Music,Emerging
CR0686,2023-11-27,Brazil,Lifestyle,Emerging
CR0687,2022-03-24,US & Canada,Education,Emerging
CR0688,2024-12-18,US & Canada,Lifestyle,Emerging
CR0689,2022-04-03,Brazil,Lifestyle,Growth
CR0690,2024-10-06,Other LATAM,Education,Growth
CR0691,2022-12-14,US & Canada,Education,Emerging
CR0692,2024-08-15,Brazil,Entertainment,Growth
CR0693,2023-01-09,US & Canada,Lifestyle,Emerging
CR0694,2022-03-13,Brazil,Education,Emerging
CR0695,2022-03-30,Brazil,Gaming,Established
CR0696,2022-08-01,US & Canada,Gaming,Emerging
CR0697,2022-11-10,US & Canada,Lifestyle,Emerging
CR0698,2023-06-17,US & Canada,Entertainment,Emerging
CR0699,2022-09-27,US & Canada,Education,Emerging
CR0700,2024-12-20,US & Canada,Entertainment,Emerging
CR0701,2024-01-18,Brazil,Gaming,Established
CR0702,2024-08-27,Brazil,Education,Emerging
CR0703,2024-04-03,US & Canada,Gaming,Growth
CR0704,2022-05-09,Mexico,Entertainment,Emerging
CR0705,2024-10-24,Other LATAM,Gaming,Emerging
CR0706,2024-10-03,US & Canada,Gaming,Growth
CR0707,2022-02-23,Brazil,Music,Growth
CR0708,2024-08-10,Brazil,Education,Emerging
CR0709,2024-04-03,US & Canada,Music,Emerging
CR0710,2023-01-20,Brazil,Entertainment,Emerging
CR0711,2023-08-12,US & Canada,Lifestyle,Emerging
CR0712,2024-06-28,US & Canada,Education,Emerging
CR0713,2024-08-26,Mexico,Music,Emerging
CR0714,2022-05-11,US & Canada,Gaming,Growth
CR0715,2024-02-04,Other LATAM,Lifestyle,Emerging
CR0716,2023-08-14,Mexico,Entertainment,Growth
CR0717,2023-09-29,Mexico,Gaming,Established
CR0718,2024-04-26,US & Canada,Music,Established
CR0719,2022-12-30,Mexico,Music,Emerging
CR0720,2024-05-12,Other LATAM,Lifestyle,Emerging
CR0721,2023-10-05,US & Canada,Music,Growth
CR0722,2024-09-26,US & Canada,Entertainment,Emerging
CR0723,2024-02-04,Brazil,Entertainment,Emerging
CR0724,2023-02-12,Other LATAM,Entertainment,Established
CR0725,2024-12-02,Mexico,Education,Emerging
CR0726,2022-04-13,Other LATAM,Entertainment,Emerging
CR0727,2022-02-13,US & Canada,Music,Growth
CR0728,2024-11-26,Mexico,Gaming,Established
CR0729,2023-01-10,US & Canada,Music,Emerging
CR0730,2023-02-25,Brazil,Music,Emerging
CR0731,2022-01-07,US & Canada,Gaming,Emerging
CR0732,2023-08-02,US & Canada,Entertainment,Emerging
CR0733,2022-03-24,Other LATAM,Gaming,Established
CR0734,2022-08-24,US & Canada,Gaming,Emerging
CR0735,2022-06-08,US & Canada,Gaming,Growth
CR0736,2023-03-20,Mexico,Entertainment,Emerging
CR0737,2023-12-13,US & Canada,Lifestyle,Growth
CR0738,2024-06-10,US & Canada,Education,Emerging
CR0739,2023-11-28,Brazil,Gaming,Emerging
CR0740,2024-01-15,Mexico,Lifestyle,Emerging
CR0741,2024-11-24,Other LATAM,Lifestyle,Established
CR0742,2024-08-14,Mexico,Entertainment,Growth
CR0743,2023-05-12,US & Canada,Music,Emerging
CR0744,2023-07-09,US & Canada,Music,Emerging
CR0745,2023-11-03,Brazil,Entertainment,Emerging
CR0746,2023-05-23,Mexico,Gaming,Emerging
CR0747,2024-04-13,Mexico,Education,Growth
CR0748,2023-11-20,Other LATAM,Lifestyle,Emerging
CR0749,2023-12-18,Mexico,Music,Emerging
CR0750,2024-02-06,US & Canada,Gaming,Growth
